Électrodes,Résistance [Ω],Courant [A],Tension [V],Puissance [W],Énergie [J],Temps [s],Volume H₂ [ml],Volume O₂ [ml],Taux H₂ [ml/s],Taux O₂ [ml/s],Efficacité [ml H₂/J],Longueur anode [cm],Longueur cathode [cm],Ratio H₂/O₂,Densité courant anode [A/cm²],Densité courant cathode [A/cm²],Efficacité H₂ [ml/Wh],Production spécifique [ml/(W·s)],Tension calculée V=R×I [V],Écart tension [%]
Laiton,19.23,0.52,10.0,5.2,3078.4,592.0,42.0,17.0,0.07094594594594594,0.028716216216216218,0.013643451143451142,4.4,2.6,2.4705882352941178,0.11818181818181818,0.2,49.11642411642411,0.013643451143451142,9.999600000000001,0.003999999999990678
Cuivre- Carbon+ V2,19.23,0.52,10.0,5.2,2860.0,550.0,40.0,15.0,0.07272727272727272,0.02727272727272727,0.013986013986013986,4.4,2.5,2.6666666666666665,0.11818181818181818,0.20800000000000002,50.34965034965035,0.013986013986013986,9.999600000000001,0.003999999999990678
Cuivre- Carbon+,17.86,0.56,10.0,5.6,,,49.0,20.0,,,,4.4,2.6,2.45,0.1272727272727273,0.2153846153846154,,,10.0016,0.015999999999998238
Aluminium,18.35,0.545,10.0,5.45,2828.55,519.0,41.0,16.0,0.0789980732177264,0.030828516377649325,0.014495059306004842,4.4,3.4,2.5625,0.12386363636363636,0.16029411764705884,52.18221350161743,0.014495059306004842,10.000750000000002,0.007500000000018047
Stainless,15.87,0.63,10.0,6.3,2520.0,400.0,34.0,8.0,0.085,0.02,0.013492063492063493,4.4,3.6,4.25,0.14318181818181816,0.175,48.57142857142858,0.013492063492063493,9.998099999999999,0.01900000000000901
Stainless (concentration++),6.67,1.5,10.0,15.0,1815.0,121.0,30.0,14.0,0.24793388429752067,0.11570247933884298,0.01652892561983471,4.4,3.6,2.142857142857143,0.3409090909090909,0.41666666666666663,59.50413223140496,0.01652892561983471,10.004999999999999,0.049999999999990045
Carbone,16.67,0.6,10.0,6.0,2340.0,390.0,32.0,18.0,0.08205128205128205,0.046153846153846156,0.013675213675213675,4.4,4.1,1.7777777777777777,0.13636363636363635,0.14634146341463417,49.23076923076923,0.013675213675213675,10.002,0.02000000000000668
Titane,2207.14,0.014,30.9,0.4326,545.076,1260.0,0.5,0.5,0.0003968253968253968,0.0003968253968253968,0.0009173032751396135,3.9,3.8,1.0,0.0035897435897435897,0.00368421052631579,3.3022917905026086,0.0009173032751396135,30.89996,0.0001294498381828016
Titane- carbone+,20.02,0.5,10.01,5.005,3578.575,715.0,47.0,23.0,0.06573426573426573,0.032167832167832165,0.013133719427425722,4.3,3.8,2.0434782608695654,0.11627906976744186,0.13157894736842105,47.2813899387326,0.013133719427425722,10.01,0.0
